column_a,column_b
103685034,alecserovic
1066204172,zebra78610
1071777608,johnpodesta
1081566852,cindygarrett14
1084375028,JasonMillerinDC
1085411936,CindyMunz
109065990,RealAlexJones
1097173861,upstatecriminal
1097225142,matandsher
110071965,donaldpirl
111735130,Mike_Sand_Man
1123166701,bfinstock2_0
1150914516,nooneishere51
115681686,NetworksManager
115979444,DWStweets
1161161875,vision835
116384038,pepesgrandma
119099353,Harlan
1209317053,stevenj60329854
122111073,MzBodie
124227622,PoliticsPeach
124789225,ProudlyWeHail
125640659,GeeWhiz__
125707688,stanishr
1287018594,srfulton22
1291571430,Shawn23G
129235890,Lrihendry
1321334844,CarynBark
133028016,LaneSitzGadsden
1339835893,HillaryClinton
1340590758,gamblerbackspac
134240162,eavesdropann
136261853,kathleenagnew
1363429202,kravmaganaveet
1367531,FoxNews
1368441913,lhuffman34
1417793336,FightNowAmerica
14377605,TheDemocrats
14529929,jaketapper
1461031969,MadeleineLove
146408874,mimimayesTN
14641650,paulsteven
14669951,DRUDGE_REPORT
147248694,misstozak
148253367,lainieks
1496756359,Tonys_Rant
1499268588,roycan79
1536791610,POTUS
154108144,aniIkuriakose
15438913,MailOnline
154550390,minnamyself
15513604,foxandfriends
155651563,54Ange
15613677,toxic11
15722902,Linda_2008
1581947954,CBasnik
159009432,SoniaO529
1592453774,News__La
159334308,namusca
161469698,carehope58
16163639,NolteNC
164254921,MrPug94
16589206,wikileaks
16792067,JGonza28
16834167,ActualFlatticus
1691499066,gupdiver
16989178,JamesOKeefeIII
1722199244,1isten_up
1726476212,JDenmyer
17469289,nypost
17546242,TheSugarStudioC
17561562,slone
17629860,FBI
176678019,daliafierro
17980523,mitchellvii
18071459,MarkSimoneNY
181249422,ANOMALY1
182083010,srcurry57
18553881,narnie4
1858694449,captainbelvader
18643437,PrisonPlanet
18646108,BretBaier
1873929764,kupajo322
187716379,dojiedojie
1887528152,Bruce_LeVell
18956073,dcexaminer
189852253,sicusoc
191195321,Friochilly
19173608,JayS2629
1917731,thehill
1936536769,phil200269
194203648,darbymcgeorge
1957816716,PattiLaudan
197496309,FrankLuntz
198516386,romansun
202417547,cajunkallie
206063108,SunnyAtTheGulf
206957682,redsonic17
20713061,newtgingrich
20776147,seanspicer
2147629573,pcampos1122
2155220057,drginareghetti
215762606,HeroAssange
2164876369,RepStevenSmith
2172872273,paulthomas1020
21802725,redchuckjack
21888595,hale_razor
2189444204,WPufall
21962713,popink
22068440,mike1592
221034430,robertthedeuce
2211027127,NoHostagesTaken
221963057,beckypike34
2223453550,DBethd16
2239864518,RoKeT_gal
2252260969,KevinHorton15
2259116640,james_toles
22932667,Gia84
2297125818,dwulke
2305879171,satirist_indian
2305880564,dxguy7
2306667108,Underpressure60
2307464682,mccraw_birkie5
23240495,ramrace
23277531,Lizdolan
2329148937,GDeplorable
23477550,sueettaparks
2348158603,evangesolc
235698522,Barb138
235709466,LakersNBAEmpire
2365728494,TonyBeavers1
237348797,TGowdySC
2373735295,MiddleEastEye
23775006,woodman56
2380995036,hurbrough
2382696936,DDlschnidt
2384394751,zarember_cindy
2402434039,BaylorChrissy
240658286,Nntt26
2408083531,havrock
24127811,mtracey
241803028,melgrissom
24369345,cc125
2437753466,CandaSnyder
2452965958,DeCiccoGloria
24626122,bigbill_ontw
2467791,washingtonpost
2496377724,Meeeedge
25073877,realDonaldTrump
250994300,ELZUNIA79
2519063076,tammywalt61
2523556454,DianaChic1
254145194,aGirlHasNo_Name
2547715294,annaka72120
2567523902,nighthawkmoon
2570950710,dosdelimas
259001548,kayleighmcenany
260369607,anthony5505
2615179467,beverly_zwigart
26228963,rhondaweaver
26487169,LouDobbs
2677167336,stealthtrades
2678662218,misskt_a_j
2683032895,Holmesdonna1
272114651,SpecialKMB1969
2729597328,StLouisPundit
2746979823,UTHornsRawk
274891222,bfraser747
27534951,ClintonCashJasp
2764242773,bp207crafts
27671624,edwrather
2767657664,TrumpAmerica17
282695161,WayneDupreeShow
2837699769,CondemnationInc
2869678709,Bush041
28785486,ABC
288363743,matthewjdowd
2889010472,LilyStelmach
2891003632,ksandiego52
2908170952,DiamondandSilk
2914076951,8a48d82c8f1f483
29350302,secularstupiddd
293795974,bowman409
294335977,PGongola
29458079,JudgeJeanine
295195137,LWelch2
2956657746,IamSeerious
295966275,vmetu
2966757413,Daradol1
29689907,USA_1
29929522,Immune30
2993237220,cevoltz
2997507926,Ris1Scott
2999700747,Boots27boots
301867678,JohnMMurphy1
3020455940,lynn_weiser
30254642,amymurdock
303214636,Trump2016DJT
3048012656,theambergal
3061797379,CashBama
30644500,marymac41
3091954441,ad938bfbaa1849c
3092154496,true_pundit
3120820724,KarenTr58210895
313024334,NewtTrump
314676814,kirchbabe
315269055,sib_howell
3153892631,RobbyMook
3167639097,nancy73gg
3180679291,FjmunoMunoz
3185264267,civello_cherise
319276183,terralynn68
322814734,Tglain
3234781559,scout1881
3240523526,JaynePenelope
324290289,sandrali07
32452446,JewelsinMo
3245666764,crying_raven
3249267995,KGBVeteran
3259137043,honoryou4u
32785482,ladykatrina3
3283629240,VRybacki17
3283723057,Lisa22545183
328576045,annacorrin
328853461,erikaberry644
328878936,JaredWyand
3320941218,rk55mk
3321952723,skyjones55
3323235405,FuckBarrel_PAC
33317438,GoldStarMomTX55
33410754,JVER1
334923393,MagnificentOne_
3352811752,JacMjc7268
33529092,SandraTXAS
3356662759,MrPoliglot
335710506,mobilern2006
3376569867,LaneSadalup
3376927462,ImmoralReport
3384385671,321Chapp
3385362887,Heather_H72
338567078,RalphHornsby
3387878543,karenmcallier
3395828534,ThomasBernpaine
34125720,angelalgibson
3414254601,Jennife30635376
3418189829,srv_g
3430537311,CarmenCammarat2
3433022621,Don_Vito_08
3440693962,bigboater88
347627434,LindaSuhler
349114009,BackOnTrackUSA
35132551,mabynshingleton
353401071,kempykitty
356324005,cferrer777
3580248555,jpm05880
359524918,supertex1955
36048950,nobamanoway
360723409,Adam_Taxin
3608463552,CalderonHenk
360967238,RICHARDVAUGHN2
3617733732,manavtalreja3
36703948,kelpac
3677742792,immigrant4trump
3678420496,JerryWact
3711496576,Cooking4Bernie
3723723982,Ma1973sk
3731667975,joette_hayward
3739067240,MyInfoLaura1
3746883494,jimcarroll7137
3775134742,Mariapeet2
37764422,foxnation
3837262032,ksmitha1
38444669,sdtwit09
385674425,motorhogman
388566563,rosenate
3886099279,Sofia03336
3914047581,Italians4Trump
39308549,DailyCaller
3931626322,RealHeatherRoss
39344374,DonaldJTrumpJr
3936850932,janetlorraine41
394260665,TweetingYarnie
394290383,ChandletJeff
3946365557,sandersequality
395476407,Zelidasquare
396231754,DebNC93
3974665634,USAneedsTRUMP
401657173,luxorgroup
4029747432,ThereseOSulliv2
4040671152,luvDixieland
4040707780,Jeffrey52095461
4041824789,RSBNetwork
4065467391,anglily1
4086580156,uliw315
40988391,pw1331
41093722,singsandsews
4113886933,quist_valerie
4128460169,GOMWM19
413312369,Petey_Brown
413467117,mary_smiths
41368430,Adelita7
41634520,seanhannity
416729595,normagenie
4193942273,lynmacjay
420266672,jmansour52
4251850093,AnilNS425
4261318354,Stevenwhirsch99
4264313385,Western_Triumph
427190975,crgargaro
4289460455,asamjulian
431792477,Owl_131
431917957,magnifier661
433587038,SuzannaChaparro
4385782960,One_US_Citizen
4389861,kevinseney
4399710327,Boston1761
441063307,tamaraleighllc
4412137636,Kbaxter64
441491135,elisa1151
4421492243,megrod2778
4432916014,PpollingNumbers
4501459398,letsrollamerica
4507160241,TheDCPolitics
45574526,nochangeplease
4560016829,TrumpDynastyUSA
457984599,BreitbartNews
4583867542,pc53lang
461220518,DanSmeriglio
4632597974,tommcq6
4647391693,theou_huios
4660013206,cmrose999
4704612192,WorldOfStupid2
4709165706,Deplorable_Ed
471672239,KellyannePolls
47253057,RogerJStoneJr
473037809,Missame123
4756733365,Maku1316
4762909946,betsee11
4795196058,KramerFerdinand
4818605530,DrogeGaming
4821375853,FriendlyJMC
4821423943,SOLOMONOFZION
4823125006,LaurieHouston19
4828325990,AprSteAle
4828389530,jenlhoie
4836402993,AmericasInPeril
48467882,rottiefreek
4847877405,elaine_wildes
4850713339,leigh_smeby
4855679640,NoMorePolitical
4855687055,Lagartija_Nix
4861446281,M_Richardson42
486205523,Rubysayzz
4883584173,JSilamianos
4895353953,LadyPat18
4899804027,DrakeRickdrake1
4903050937,John_MAGA_Galt
4905243038,carolanna88
4911342745,Smokey91199
49151228,suthernboy100
4921245314,rbee119
498065893,JoanneColombo
50135146,phatpuppyart
501835093,LBosmenierPMC
50769180,IngrahamAngle
50913224,lisareiss
510470299,KateBlake5
513438857,DBloom451
513873998,BIGSHOW401
518399661,timm2million
52136185,MichaelCohen212
52153315,Grant503
525590041,stephan96391239
533074865,64dodger
544589549,jizzi1
55772489,zduder
55993133,mourinho05
570816898,DclareDiane
577768293,Lion_LAM
582439372,HornigCynthia
586542951,JayWeber3
586675216,TruthWins4ever
59141515,Bella_DAndalora
592730371,JackPosobiec
59319365,sgchance
594937448,rlyor
59550291,0HOUR1___
59915397,jonnypay
600386228,Kathyan08260823
60668989,lonestartx1
60730035,CiciGtz
60919240,donnabrazile
611986351,KimDotcom
620571475,DanScavino
63843485,Tea4Freedom
64592409,tjmadaras
64914038,AmericanMom2
65075709,LIpatriot1
69190453,LVNancy
700693962798067712,Z3pp3in
700772748705079296,AnthonyBlunden
701581697679110145,MrCharrington75
702971762192023552,bodymankra
703022164652511232,_Ultima_Ratio_
703268281038168064,AltStreamMedia
703390111002562560,Thecentury21guy
703893401071067136,herblady0519
704050141955825664,Raven4245532
704461995643375617,cuqui0712
705461742801973248,Running_creek
705490933245149186,jon55021593
705902960967094272,USAforTrump2016
706189400829513728,StacyBrewer18
706357192220405760,HenrySommo
707581707042443264,TrumpMormons
708073528680124416,patleonard123
708472320155914240,Freechoice16
708701811209740288,1stayinformed
709104113217212416,reb_old
709177003383980032,sandlorn
709383313983725568,SPA11CE
709789026123911168,AliceBallard27
709973837,PunkiBrenda
710088641243123712,MannieMforever
710903460934254592,deanawa55339161
711373685840617472,spiderella79
711754742829944834,AnnieSpiczak
712121038859935745,WilliamMauldin9
712730920760029187,NDCTrump
713089770600079360,Jennife51072808
713129219497279488,ALilJaded4u2
713154978811142145,JorgeLZambrana1
713609371725537281,Rockstardad76
714182071548256259,patrperfection
714575249128423424,HalleyBorderCol
714633790749077505,FLConserve941
714908382725996546,AaronSims31
714947334,mkues65
714985182315450368,Debbierg51
715044396,Rockprincess818
715178668595683328,Lil_Benny13
715313755,sue_starr2020
715412452540870657,trump4_change
717067248284729344,LorainBingham
718319754,HotNostrilsrFun
718561802787930113,MissLizzyNJ
719670127,Rippinstocks
720378783996358656,RosemaryBucha17
721104775689863168,jamiechance05
723929245710475264,BeaucageRichard
725770009553719300,kennedy_cindi
725809806095859714,ClassyLady4DJT
726784186217062400,GretchenGorup
728616248439939072,JulieCa92128716
729676086632656900,TeamTrump
730865469062680577,JimDesert1
732733728401686531,MDeath47
732779507506020352,ms_erika74
732980827,ChristiChat
733082357041922048,DanielMinton6
733421930712162306,TRUMPMOVEMENTUS
733663385443782656,Kathyco44813484
733795265413545986,abbaeema41
733828747690811392,datrumpnation1
734705685284282370,bellawhite1954
734966543717519360,adboa95
736707178535358466,djsoutlook
737298327335751680,native4trump
742085410646548481,njbeach15
742716154364497920,JamesPaine33248
745852214493777920,innehall
746772082155995136,KW7of8CC
747144457741606912,ptydale1001
748859969777332225,usaforyoubruv
749654023217700868,Joe81406080
749723508477865984,robison_gail
75020778,PrescottBobcat
75069067,ClintonFdn
75093850,NikkiWilkerson
751472723847548928,cnoss53
751510293746839552,subschneider
751834799464067072,SlickLilly
752832585869332480,rodgo34
753450025515036672,GoettleEva
753472878360813568,Platipuss298
753777286600650752,kay_matte
754827390858080256,Democrat_4Trump
756251097354776576,racheld48040847
756257489520173056,CanidaJames
756353529770602496,thisismarealgn1
756896345940697088,sohnus
757203949074153472,Hddude2009
757281780407738368,CherylAschenbr2
758009417111576577,Dazie13
758095758503645185,FaircloughKeith
758353855520256000,BeccaAZ73
759043134751813632,DonSai58105890
759163746564669440,Linda97157
759234375015956480,93ParkAvenue
759251,CNN
760128364950724608,dbsdey681
761056167564980226,opionated164
762488659966775298,caselvis58
762584859189518336,MeemsKaso
762693355285286912,HarryAnd7171
764572902125608960,Ronnie60796238
765207622169616384,iamdansim
766719223745896448,szymonuak
767465035815723008,SpitfireSuzy
768098547770068992,PatriotinMO_USA
768661230596689921,RoryCross10
769533635976310785,Redwhitebluetex
769542302570311681,Apple55552
769617662582333440,WitchIrish
769691746406109184,gagakristofic
770264973490675712,IsHillarySucks
770473020347604992,CallingAstro424
770681636874772480,JackConroy3906
773881713843904512,Chas4Trump
774293672531820544,maxfieldmatthe2
77499983,gahome1
777645386269859840,amyrodgers27
777840825732632576,kitten0626
779004736997470209,Rebelyel21
779337133744009216,Myinfo941454043
779563097237303296,2braptuedbyJC77
779739206339928064,WDFx2EU7
780513055646056448,southernalmom
782454365860859904,Charlie_Hedrick
782818901755174912,KennethEngler1
783408079836700672,BoycottHRC
783456597326508032,DarrenNMaranda
783487937761640448,lucky_burgess
783561210419642368,Lili6Lin
783836435799429121,MAGA3X
784008026864783360,SnappyBHS
784126293545582592,BadassTexCowboy
784523868694253569,KathyShelton_
784760200666361856,sara_pomrenke
785241712952119296,chase4trump
785490674,nanasuebob
785879794932211713,sirrubishagrid
786189934868701184,harden_beverly
786213115788656641,northbeachsusan
786433572777304064,CottonCandyMmm
786645817905991680,TinaJ4Trump
78673069,IsraelTruthWeek
787072755430625280,NeverClinton666
787082638628679680,TrumpLovesPussy
787427214140723202,098James
787944328970788866,NonnieCon
788184689576071169,Trumpstdr
788900018883141633,KitKatCallicott
789172980676857856,HelpUsChangeUSA
790320398047014912,MaryTennant17
791841379,karey_donna
79523499,tynmadimom
798530833,idesignwis
806010806,Faye0226
807095,nytimes
81095948,maniarasanp
825501626,VivaLaAmes
839200800,effiekling
849098418,gitgim
85023081,Georgetduffy
851059680,AnAmerican4
861445200,Rickeyleetw
874748636,TheTurpens
884311340,bfrasier1951
885069144,4peaks94
885712620,dlortner
896258742,hrtablaze
898635746,SecretAZ12
900355423,sheila06942158
905898240,SharonMcCutchan
91882544,DineshDSouza
926338848,bmccraw62
928950889,chrisharper99
961371518,susanfujioka
97793731,mgd2278
995845117,RespectOurFlag2
